size	colour	x	y	showSelectedlegendcolour	clickSelects	showSelected1	PANEL	fill
2.13402561685752	#00C094	6.928	1960	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.14113807981099	#00C094	6.91	1961	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.15027589949552	#00C094	6.893	1962	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.16021328425315	#00C094	6.877	1963	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.16959559491176	#00C094	6.861	1964	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.17787186984743	#00C094	6.841	1965	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.18488171129578	#00C094	6.816	1966	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.19158561857718	#00C094	6.783	1967	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.19983896597154	#00C094	6.738	1968	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.21178253887457	#00C094	6.679	1969	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.22841418354376	#00C094	6.605	1970	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.24895676062057	#00C094	6.512	1971	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.2721892157869	#00C094	6.402	1972	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.29763834842987	#00C094	6.279	1973	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.32484175444879	#00C094	6.146	1974	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.35324308848019	#00C094	6.009	1975	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.38294375205809	#00C094	5.873	1976	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.41326898579214	#00C094	5.744	1977	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.44244530976722	#00C094	5.624	1978	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.4686180109556	#00C094	5.517	1979	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.49090445250535	#00C094	5.423	1980	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.50918294388294	#00C094	5.344	1981	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.52436712702662	#00C094	5.274	1982	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.53789509058479	#00C094	5.209	1983	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.55159495572554	#00C094	5.141	1984	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.56666638010219	#00C094	5.065	1985	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.58337107697627	#00C094	4.973	1986	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.60125375888251	#00C094	4.86	1987	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.61988267474751	#00C094	4.724	1988	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.63863684624776	#00C094	4.566	1989	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.65713058553469	#00C094	4.388	1990	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.67549110191576	#00C094	4.193	1991	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.69396868696073	#00C094	3.989	1992	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.71250687109653	#00C094	3.784	1993	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.73104482699176	#00C094	3.584	1994	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.74962759143872	#00C094	3.394	1995	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.76938518185242	#00C094	3.217	1996	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.79073553313541	#00C094	3.055	1997	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.81246275726886	#00C094	2.906	1998	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.83299400010958	#00C094	2.77	1999	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.85197852795163	#00C094	2.645	2000	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.86680967824059	#00C094	2.527	2001	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.87949027952009	#00C094	2.413	2002	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
2.89917974843468	#00C094	2.301	2003	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	1	#00C094
